"trial_name","trial_number","response","RT","question","picture","option1","option2","QUD","picture1","picture2","participant_ID","key_pressed","foil_Type","correctness","g","h","key1","key2","expected","startDate","startTime","age","gender","education","languages","comments","endTime","timeSpent","experiment_id",
"forced_choice_preQ","1","right","3017","Which hand is your primary hand?","images/Hands.png","left","right","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"forced_choice_preQ","2","Yes","7435","Do you know what this is?","images/Generated_Pictures/Tri_triangle_3.png","Yes","No","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"forced_choice_preQ","3","Yes","3371","Have you ever heard or read about a <strong>FRACTAL</strong>?","images/question_mark_01.png","Yes","No","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"fractal_view_2D","1","NA","3617","Which is the correct continuation?","NA","NA","NA","NA","images/Generated_Pictures/Quad_arrow_4_iteration_3_false.png","images/Generated_Pictures/Quad_arrow_4_iteration_3.png","928476","right","undefined","correct","NA","NA","NA","NA","NA","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"fractal_view_2D","2","NA","12370","Which is the correct continuation?","NA","NA","NA","NA","images/Generated_Pictures/Hexa_arrow_3_iteration_4_false.png","images/Generated_Pictures/Hexa_arrow_3_iteration_4.png","928476","right","undefined","false","NA","NA","NA","NA","NA","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"fractal_view_2D","3","NA","3610","Which is the correct continuation?","NA","NA","NA","NA","images/Generated_Pictures/Hexa_square_3_iteration_3.png","images/Generated_Pictures/Hexa_square_3_iteration_3_false.png","928476","left","undefined","correct","NA","NA","NA","NA","NA","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"fractal_view_2D","4","NA","3380","Which is the correct continuation?","NA","NA","NA","NA","images/Generated_Pictures/Hexa_circle_3_iteration_4.png","images/Generated_Pictures/Hexa_circle_3_iteration_4_false.png","928476","left","undefined","correct","NA","NA","NA","NA","NA","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"fractal_view_2D","5","NA","4084","Which is the correct continuation?","NA","NA","NA","NA","images/Generated_Pictures/Penta_triangle_3_iteration_4.png","images/Generated_Pictures/Penta_triangle_3_iteration_4_false.png","928476","left","undefined","correct","NA","NA","NA","NA","NA","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"fractal_view_2D","6","NA","3184","Which is the correct continuation?","NA","NA","NA","NA","images/Generated_Pictures/Penta_circle_3_iteration_4.png","images/Generated_Pictures/Penta_circle_3_iteration_4_false.png","928476","right","iteration","correct","NA","NA","NA","NA","NA","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_testTrial","1","NA","7131","Is this a fractal? - <strong>TEST</strong>","images/Generated_Pictures/Tri_square_4_iteration_2.png","NA","NA","","NA","NA","NA","h","NA","correct","fractal","non-fractal","g","h","non-fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
